Medication Type,Medication,Brand Name,Formulation,Initial Dose Range,Usual Titration,Usual  Dose,Max Titration,Usual Max Dose,Max Dose,Taper,CYP (Metabolized/Inducer/Inhibitor) with weaker effects in parens,Study Dosage,Study 2,Study 3,Notes,Notes 2,Trials/Adverse SE/CI,Refs
Alpha Antagonist,Prazosin,Minipress,"Capsule: 1 mg, 2 mg, 5 mg",1mg qhs [a] - 2mg [A],"2mg q week; after one month, 5 mg q week",6mg - 10mg,1mg q 3d till 3mg then 1mg qwk [a]; 2mg BID q 3 days ,4mg [a] - 5mg -16mg [A],16mg,Taper over 2 weeks (25% q 3 days),,Range,9 (5.7) ,,Also for PTSD nightmares,,https://www.sciencedirect.com/science/article/pii/S0025619612006672,EUP
Miscellaneous,Naltrexone,,Tablet: 50mg,25[a] - 50 [A],25mg q 2 weeks,50mg,25mg q week [a],50mg,,None required,,https://www.ncbi.nlm.nih.gov/books/NBK64042/, ,,For EtOH abuse,,"Hepatotox, 7d abstain",
OCD Augmentation,N acetyl Cysteine (NAC),,Tablet: 500mg,500mg BID [A],500mg q 2 weeks,2000mg-3000mg,500mg BID qweek,3000mg,,,,3000mg,2000mg,,For OCD augmentation; Low Evidence,,,
NRI,Atomoxetine,Strattera,"Capsule: 10 mg, 18 mg, 25 mg, 40 mg, 60 mg, 80 mg, 100 mg",0.8 mg/kg (40[A]),40-80mg q month [A],40 - 100mg,"after 3 days inc to 1.2 mg/kg; after 1 wk to 1.8mg/kg OR inc to 40mg BID after 3 days at 40mg qd, then after 2 weeks, can increase to 50mg BID",100mg [A],120mg [A],None,2D6/-/-,1.3 mg/kg,1.2 mg/kg,,For ADHD,,,FSUP
Alpha Agonist,Clonidine IR,Catapres,"Tablet: 0.1 mg, 0.2 mg, 0.3 mg",0.05 [c] - 0.1 [a] mg,0.05mg BID/TID q week,0.2mg - 0.4mg TDD,0.05 [c] - 0.1mg[a] q 3 days (div BID),0.1mg TID [c] - 0.15mg TID[a],0.6mg TDD,0.1 mg q week OR over one week,,0.25 (1.1) mg [ca] TDD,,,Also for PTSD nightmares. ,Not directly exchangeable with ER formulation,dose not exchangable w/ XR,
Alpha Agonist,Clonidine XR,Kapvay,Tablet: 0.1mg,0.1 mg qhs,0.1mg q 2 weeks (add to am dose after 0.2mg),0.2mg - 0.4mg,0.1mg q week,0.2mg BID,,0.1 mg q week OR over one week,,up to 0.4mg,,,Also for PTSD nightmares,Not directly exchangeable with IR formulation,,U
Miscellaneous,Desmopressin,DDAVP,"Tablet: 0.1 mg, 0.2 mg",0.2mg [ca],0.2mg q week,0.2-0.6mg,0.2mg q day after 3 days,0.6mg,0.6mg BID,,,,,,,,,
Anti-Depressant Augmentation,Omega Three (3) Fatty Acids,,,>1gm EPA and/or 2:1 EPA:DHA ratio,none,>1gm EPA and/or 2:1 EPA:DHA ratio,,,,None,,Varies,,,Low evidence: For Depression,,,
Hypnotic,Zolpidem IR,Ambien,"Tablet: Generic: 5 mg, 10 mg",5mg,5mg q week,5mg,5mg q day,10mg,,None required OR taper over 1-2 weeks,(3A4)/?/?,No pediatric evidence,,,,,,F
Hypnotic,Zolpidem XR,Ambien CR,"Tablet: 6.25 mg, 12.5 mg ; solution and SL available",6.25mg,6.25mg q week,6.25mg,6.25mg q day,12.5mg,10mg,None required OR taper over 1-2 weeks,(3A4)/?/?,No pediatric evidence,,,,,,F
Hypnotic,Eszopiclone,Lunesta,"Tablet: 1 mg, 2 mg, 3 mg",1mg ,1mg q week,1mg ,1mg q day,3mg,,,,,,,,,,F
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,H
NMDA antagonist,Memantine IR,Namenda IR,"Tablet: 5mg, 10mg",5mg,5mg qweek,20mg,5mg qweek,20mg,,,,,RCT,,For OCD augmentation,,,
Anti-Depressant Augmentation,Methylfolate,Deplin,"Cap: 7.5 mg, 15mg",7.5 - 15mg,none,7.5 - 15mg,,30mg,,,,Low Evidence,RCTs,Review,,,,H
Anti-Depressant Augmentation,S-Adenosyl methionine,SamE,"Capsule: 200mg, 400mg, 500mg, 1500mg",1600mg,1600mg q month,1600mg-3200mg,,800mg BID,,,,Low Evidence,Failed RCT,Review,,,,H
Anti-Depressant Augmentation,Inositol,,"Capsule: 500mg, 1gm, 2gm, 4gm",2.5gm - 5gm,none,10gm-25gm,,25gm,,,,Very Low Evidence,STEP-BD,Review,,,,
OCD Augmentation,Riluzole,Rilutek,,10mg,10mg qd ,,50mg BID,150-200mg,,,,Very Low Evidence,Failed RCT,,,,,H
,,,,,,,,,,,,,,,,,,
Antidepressant Switching Guideline,SSRI to SSRI,"Rec 1: ""Rapid""; Discontinue immediately and start new SSRI at equivalent dosing equivalent (U)",,"Rec 2: ""Rapid Concurrent""; Continue current dose and start normal titration of new SSRI immediately (A)","Rec 3: ""Typical""; Discontinue immediately and switch to starting dose of new SSRI immediately (STARD)","Rec 4: ""Conservative"" ; Discontinue via normal taper and start starting dose of new SSRI after old SSRI discontinued (TORDIA, Forest Labs)",,,,,,STARD,TORDIA,Forest Labs,See uptodate for further recs,,,
Antidepressant Switching Guideline,SSRI and Bupriopion,SSRI to Buproprion: Discontinue SSRI immediately (or as per normal taper) and start Bupropion SR/XL 150mg,,Bupriopion to SSRI: Half dose SSRI (if 2D6) for 2 days then normal titration otherwise normal titration,,,,,,,,STARD,,,See uptodate for further recs,,,
Antidepressant Switching Guideline,SSRI to SNRI,"Rec 1: ""Rapid""; Discontinue SSRI immediately (normal dose) and start starting dose of SNRI (U, STARD)",,"Rec 2: ""Typical""; Normal SSRI (high dose) taper and either start SNRI at starting dose or titrate to starting dose over two weeks","Rec 3: ""Fluoxetine/Fluvoxamine/Paroxetine""; Normal taper of SSRI, then half of starting dose of SNRI for 1-2 weeks, then starting dose of SNRI",,,,,,,STARD,RCT ,,See uptodate for further recs,,,U
Antidepressant Switching Guideline,SSRI to AD,"""Typical"": Cross taper over one to two weeks",,,,,,,,,,,,,See uptodate for further recs,,,
Antidepressant Switching Guideline,SNRI to SSRI,"""Typical"": Cross taper over one to two weeks",,,,,,,,,,,,,,,,
Antidepressant Switching Guideline,SNRI to SNRI,Normal dose SNRI: Can switch to equivalent dose SNRI. High dose SNRI: Cross taper over one week,,,,,,,,,,,,,See uptodate for further recs,,,
Antidepressant Switching Guideline,TCA/SRI to SRI/TCA,"Rec 1: ""Typical""; Cross-taper over 1-2 weeks (as per Rec 2 but with adjusted timeframes); For 2D6 inhibitors (SRI to TCA), cross taper to half starting dose over 1-2 weeks, then titrate to starting dose over one week",,"Rec 2: ""Conservative""; Cross taper over one month (e.g. 50% of ID for 1 wk, then 50%, then 25%, then discontinue) for old medication, uptitrate new medication (50% of ID for 2 weeks, then 100% of ID) [Maudsley]",,,,,,,,,,,See uptodate for further recs,,,
Antidepressant Switching Guideline,MAOI,"Global Rec: Two week washout with serotonergic meds when titrating or tapering (for fluoxetine, five week washout)",,,,,,,,,,,,,See uptodate for further recs,,,
Tapering Guidelines,Tapering Guidelines,"(0) Never hurts to taper if possible and without other potential interactions/side effects (1) Focus on medication side effect severity (faster tapering for severe current side effects from titration, slower taper if without current side effects) (2) Tapering schedule also based on patient ability to follow recommendations (3) Consider other medications/medical history (4) Consider half life (shorter half life with higher withdrawal risk); (5) Consider dosages (higher dose may need longer taper) (6) Prior history of discontinuation side effects (7) Consider symptom relapse (e.g. taper medication slower for more severe depression) (8) Provide psychoeducation of tapering symptoms (9) Consideration of duration of medication use of medication being tapered (shorter duration taking medication likely with less withdrawal)",,,,,,,,,,,,,,,,
Titrating Guidelines,Titrating Guidelines,"(1) Start at lower dosages ; (2) For certain antidepressants (SSRI/buproprion/SNRI), anxiety disorder patients may start lower dosages (half of starting dose); (3) Slow titration or reduce to prior tolerated dosage if having side effects; (4) Patient preference important; (5) For treatment-naïve patients, may be valuable to go slower given negative side effects can make them less likely to trial future medications; (6) Consider patient ability to understand ease of dosing, e.g. once daily with higher compliance than twice daily so a lower dose may be better; (7) Severity of symptoms and impairment can determine titration speed (e.g. mild anxiety - slower vs suicidal depression - faster); (8) Provide psychoeducation of tapering symptoms",,,,,,,,,,,,,,,,
Key Legend,Key Legend,Study Dosages: p (preschool); c (childhood (6-12)); a (adolescent (13-18)); A (Adult (>18)); O (open-label trials); DAUG OR AUG (augmentation for depression); OAUG (augmentation for OCD); BPD (bipolar depression); BPM (bipolar mania); No specified age (Assume Adult); TRD (treatment resistant depression/augmentaion); IP (inpatient); ID (initial dose); TDD (total daily dose); ,,"References : E (Expert recommendation ); U (Uptodate); R (Research study used such example); F (FDA); S (Stahls); M (Manual of Clinical Psychopharm); H (Handbook of Psychiatry Drug Therapy); T (Thase Tx Guidelines, J Clin Psychiatry ); P (Physicians Desk Reference (PDR)); A (AACAP Psychopharm Institute); ",,,,,,,,,,,,,,
